,0,1,2,3,4,5,6,7,8
102,0.3315,0.69,0.969,0.34,0.5765,0.537,0.8915,0.3195,0.115
103,0.326,0.6725,0.943,0.329,0.557,0.518,0.846,0.3085,0.1115
104,0.3165,0.6565,0.9175,0.315,0.532,0.4995,0.812,0.2935,0.1105
105,0.3065,0.6355,0.891,0.305,0.51,0.476,0.7815,0.281,0.108
106,0.299,0.617,0.866,0.292,0.49,0.4545,0.7405,0.271,0.106
107,0.2895,0.599,0.837,0.2805,0.4675,0.4285,0.7095,0.2635,0.1025
108,0.279,0.5815,0.807,0.269,0.4425,0.4075,0.679,0.253,0.1005
109,0.2695,0.5615,0.7725,0.259,0.417,0.3865,0.6525,0.2445,0.0975
110,0.258,0.5375,0.7435,0.2445,0.3985,0.371,0.624,0.2315,0.0935
111,0.2455,0.515,0.7115,0.233,0.3795,0.3575,0.5945,0.2185,0.0885
112,0.235,0.489,0.6745,0.22,0.362,0.3405,0.5675,0.211,0.0855
113,0.2225,0.4635,0.6425,0.207,0.342,0.3255,0.5415,0.201,0.081
114,0.207,0.438,0.6065,0.196,0.329,0.3125,0.5135,0.191,0.0745
115,0.196,0.4125,0.5725,0.185,0.311,0.293,0.491,0.179,0.0695
116,0.1825,0.3885,0.5335,0.1745,0.293,0.276,0.47,0.1685,0.0645
117,0.168,0.368,0.503,0.1625,0.279,0.2575,0.442,0.1525,0.06
118,0.155,0.3455,0.4705,0.1505,0.2585,0.2345,0.4195,0.141,0.059
119,0.1455,0.3245,0.432,0.1355,0.24,0.216,0.397,0.1325,0.0525
120,0.133,0.2955,0.394,0.1265,0.225,0.1995,0.369,0.1245,0.05
121,0.1235,0.271,0.359,0.115,0.2055,0.1845,0.3385,0.1165,0.045
122,0.109,0.244,0.326,0.1105,0.1865,0.166,0.308,0.108,0.042
123,0.0985,0.2165,0.2935,0.1,0.1675,0.147,0.2835,0.0975,0.0375
